case_Model,MRP,cpu_Model,MRP,internal-hard-drive_Model,MRP,memory_Model,MRP,motherboard_Model,MRP,power-supply_Model,MRP,video-card_Model,MRP,Total Price
Deepcool CK560,70.44,AMD Ryzen 9 3900X,248.59,Samsung 980 Pro w/Heatsink,1247.17,Crucial CT2K8G48C40U5 16 GB,3211.9,ASRock B760M Pro RS/D4,3823.32,Corsair CX750M (2021),378.54,AMD 100-505999,5866.62,14846.58
Phanteks XT PRO,604.91,AMD Ryzen 5 8500G,4042.52,Intel 750,1549.71,Corsair Dominator Titanium 96 GB,2159.08,ASRock B550M-ITX/ac,3807.28,Asus ROG LOKI,253.36,PowerColor Fighter OC,5062.24,17479.1
Corsair 2500D Airflow,108.72,AMD Ryzen 5 2600X,4238.77,Toshiba MG10 512e,1205.53,Crucial Classic 16 GB,2881.75,ASRock A520M-HDV,2274.2,Corsair CX650M (2021),709.2,Zotac GAMING Trinity OC,4872.65,16290.82
Fractal Design Terra,601.53,AMD FX-6300,2656.31,Western Digital Caviar Blue,625.77,G.Skill Trident Z5 Neo RGB 64 GB,3315.55,ASRock B650E PG RIPTIDE WIFI,1322.13,Corsair RM1000e (2023),389.3,MSI RTX 3060 Ventus 3X 12G OC,2975.77,11886.36
BitFenix Nova Mesh SE,155.37,Intel Core i7-7700K,1088.98,Kingston A400,1129.85,G.Skill Trident Z5 Neo RGB 64 GB,2790.9,Gigabyte B760M DS3H AX,2159.18,ADATA XPG Core Reactor II,565.09,PowerColor Red Devil,9181.87,17071.24
Deepcool CH560 DIGITAL,154.38,Intel Core i7-13700K,2294.1,Kingston A400,1086.78,Patriot Viper Steel 32 GB,2802.91,ASRock B760M Pro RS/D4,1960.81,Super Flower Leadex Platinum,180.26,Asus STRIX GAMING OC,6311.94,14791.18
Phanteks NV5,577.26,Intel Core i5-14400F,3462.62,Crucial P5 Plus,2035.72,Corsair Vengeance RGB 32 GB,319.97,Asus TUF GAMING B550M-PLUS WIFI II,972.58,Asus ROG LOKI,123.25,EVGA SC2,3659.72,11151.12
Zalman P30,430.94,AMD Ryzen 5 3600,4156.87,Samsung 980 Pro w/Heatsink,341.21,Patriot Viper Venom 16 GB,2104.08,MSI MAG B650M MORTAR WIFI,1951.05,MSI MPG A750GF,422.57,PowerColor Fighter,8265.76,17672.48
Lian Li LANCOOL 215,357.38,Intel Core i5-12500,191.28,Sabrent Rocket 5,1739.48,TEAMGROUP T-Create Expert 16 GB,296.55,ASRock B550M Steel Legend,3780.28,Logisys PS480D,468.29,MSI GAMING TRIO CLASSIC,9289.16,16122.42
Corsair 275R Airflow,457.99,Intel Core i7-14700KF,3389.93,Samsung 990 Pro,609.76,G.Skill Trident Z5 RGB 64 GB,2445.57,MSI B550 GAMING GEN3,97.94,Apevia Prestige,652.21,MSI SUPRIM X,8039.75,15693.15
Lian Li LANCOOL 215,350.54,AMD Ryzen 9 7900,2987.32,Transcend 250S,2400.02,Kingston FURY Beast RGB 64 GB,853.18,MSI MAG B650M MORTAR WIFI,1219.23,MSI MAG A850GL PCIE5,184.46,Asus TUF GAMING OC,5114.86,13109.61
Fractal Design Pop XL Silent,220.52,AMD FX-6100,618.65,Silicon Power P34A60,463.55,Corsair Dominator Titanium 32 GB,2398.79,Gigabyte Z790 AORUS PRO X,995.29,Deepcool PX1000G,277.65,Sparkle ORC OC,2437.45,7411.9
HYTE Y60,36.3,AMD FX-6350,1317.75,Silicon Power UD85,1830.49,G.Skill Trident Z5 Neo RGB 64 GB,2567.95,Gigabyte A520M K V2,240.99,Asus TUF Gaming 750G,352.38,ASRock Challenger Pro OC,9620.99,15966.85
Fractal Design Torrent RGB,504.5,Intel Core i5-14400F,4239.81,Western Digital WD_BLACK,2214.56,G.Skill Flare X5 32 GB,2811.77,Supermicro MBD-X10DRI-O,1187.92,be quiet! SFX L Power,548.34,Zotac GAMING Twin Edge OC,7665.88,19172.78
Montech KING 95,231.11,Intel Core i7-10700F,36.54,Toshiba MG10 512e,2115.22,Crucial CT8G48C40U5 8 GB,3222.26,Asus PRIME Z790-A WIFI,3939.23,Corsair SF750,378.24,Inno3D Twin X2,388.83,10311.43
be quiet! Pure Base 600,340.5,Intel Xeon E-2124,1379.42,Western Digital Black SN770,467.6,TEAMGROUP T-Create Classic 16 GB,2490.88,MSI PRO B760M-A WIFI DDR4,998.08,EVGA SuperNOVA 750 GA,461.56,MSI RTX 3060 Ventus 3X 12G OC,9482.82,15620.86
Deepcool CC360 ARGB,787.54,AMD 2650,566.04,Kingston KC3000,958.34,Silicon Power GAMING 32 GB,2821.06,Asus ROG STRIX B650E-F GAMING WIFI,1138.03,EVGA 500 BQ,638.31,MSI GeForce RTX 3060 Ventus 2X 12G,7010.94,13920.26
Fractal Design Pop Air RGB,152.25,AMD Ryzen 3 2200G,1927.3,Inland Professional,683.27,OLOy OWL RGB 16 GB,1621.1,MSI PRO B760-P WIFI DDR4,3641.86,Corsair CX550 (2017),442.64,Gigabyte EAGLE OC,8211.87,16680.29
DIYPC DIY-S07,236.74,Intel Core i5-9600KF,2531.24,Corsair MP700,1891.82,TEAMGROUP Vulcan Z 16 GB,370.85,MSI MAG X670E TOMAHAWK WIFI,425.92,Apevia Premier,557.1,Gigabyte GAMING OC Rev 2.0,2466.69,8480.36
Deepcool CK560,433.41,Intel Core i7-7820X,2285.25,Seagate Barracuda Compute,343.52,Corsair Dominator Platinum RGB 32 GB,2825.88,Gigabyte B760M DS3H AX,906.86,Fractal Design Ion Gold,412.8,MSI D3H LP,2134.47,9342.19
Montech KING 95,169.93,Intel Core i9-10900X,3613.62,Corsair MP700,748.15,Crucial Pro Overclocking 32 GB,2737.36,MSI MAG B550 TOMAHAWK,3762.4,Corsair RM1000x (2021),440.3,NVIDIA Founders Edition,8532.28,20004.04
GameMax Vista A,153.6,Intel Core i3-2120,2524.95,Intel 750,1915.37,G.Skill Trident Z Royal 32 GB,3095.43,MSI MPG X670E CARBON WIFI,1752.23,EVGA SuperNOVA 650 G3,176.03,Asus TUF Gaming OG OC,4828.91,14446.52
Phanteks XT PRO,376.5,Intel Core i7-5775C,1705.44,Samsung 980 Pro,2041.03,Corsair Vengeance RGB 64 GB,1054.4,Asus PRIME B550-PLUS AC-HES,269.48,SeaSonic PRIME TX-1300 ATX 3.0,337.08,MSI VENTUS 3X E OC,6365.59,12149.52
Phanteks NV7,500.06,AMD Ryzen 9 3900X,2568.95,Samsung 970 Evo Plus,885.52,Corsair Vengeance 16 GB,1760.06,Asus TUF GAMING Z490-PLUS (WI-FI),1182.55,Corsair CX550 (2017),37.05,AMD 100-505999,4536.67,11470.86
Corsair iCUE 5000D RGB AIRFLOW,148.79,AMD Ryzen 7 7700,2473.49,ADATA XPG GAMMIX S70 Blade,1044.36,Corsair Vengeance LPX 128 GB,3784.88,MSI Z490-A PRO,2412.09,SeaSonic FOCUS Plus 650 Gold,651.63,Gigabyte GAMING OC,6774.55,17289.79
DIYPC DIY-S07,74.97,Intel Core i7-6900K,3924.37,MSI SPATIUM M480 PRO,134.18,Samsung M378A2K43CB1-CTD 16 GB,1446.66,Gigabyte Z790 AORUS PRO X,2947.31,EVGA SuperNOVA 750 GM,406.01,MSI SUPRIM X,2305.63,11239.13
Corsair iCUE 4000D RGB AIRFLOW,829.01,Intel Core i5-14600K,3279.16,Intel DC P3600,1828.28,G.Skill Trident Z RGB 32 GB,2635.3,Asus ROG STRIX B660-A GAMING WIFI D4,1659.87,Deepcool PQ1000M,308.06,Asus TUF GAMING,4071.18,14610.86
Corsair iCUE LINK 6500X RGB,901.76,AMD Ryzen 7 5800X3D,256.0,Intel 750,2157.43,G.Skill Aegis 32 GB,1351.42,Asus ROG STRIX B650E-I GAMING WIFI,1382.34,Corsair RM1000e (2023),510.74,MSI VENTUS 3X E OC,7489.31,14049.0
NZXT H510,927.86,Intel Core i9-10900X,2559.37,Western Digital Green SN350,757.3,TEAMGROUP T-Force Vulcan Z 32 GB,3692.54,Asus ROG STRIX X670E-E GAMING WIFI,2322.64,ADATA XPG CORE Reactor 850,240.97,Asus TUF GAMING OC,9084.83,19585.51
Fractal Design North XL,666.01,Intel Core i5-9600K,1142.29,Western Digital Blue SA510,2226.53,G.Skill Flare X5 32 GB,284.41,Gigabyte B760M DS3H AX,2368.17,SeaSonic FOCUS PX,354.31,MSI VENTUS XS OC,442.91,7484.63
Thermaltake S200 TG ARGB,858.23,AMD Ryzen 9 7900X3D,2913.69,Western Digital Blue SA510,2248.52,G.Skill Ripjaws S5 64 GB,2883.51,MSI PRO H610M-G DDR4,2573.5,Fractal Design Ion Gold,284.39,Asus DUAL OC,2496.76,14258.6
Lian Li LANCOOL 205M MESH,270.46,Intel Core i5-4690K,2115.02,Intel DC P3600,434.74,Patriot Viper Elite 5 RGB 32 GB,2028.89,ASRock B550 Phantom Gaming-ITX/ax,1173.17,Thermaltake Smart BX1 650,287.36,MSI VENTUS 2X XS OC,5102.42,11412.06
Antec NX100,426.61,AMD Ryzen 9 5900X,1780.17,Samsung 850 Evo,139.6,TEAMGROUP Elite 16 GB,3441.64,MSI PRO B650M-A WIFI,1237.19,Deepcool PM750D,415.95,PowerColor Red Devil,2443.49,9884.65
SAMA ARGB-Q5,434.79,Intel Core i5-9500,2710.66,Samsung 980,1619.83,Lexar Ares RGB 32 GB,664.05,ASRock B760M Pro RS/D4 WiFi,3513.95,SeaSonic FOCUS PLUS 850 Gold,104.47,MSI GeForce RTX 3060 Ventus 2X 12G,7322.5,16370.25
MSI MEG MAESTRO 700L PZ,689.67,Intel Core i5-12600K,3214.43,Seagate FireCuda,2316.79,Corsair Vengeance RGB RS 32 GB,2141.07,ASRock B450M/ac R2.0,1003.9,Corsair CX550 (2017),126.48,Gigabyte AERO OC V2,7820.72,17313.06
HYTE Y40,870.73,Intel Core i7-7820X,1328.8,MSI SPATIUM M570 HS,647.61,Crucial CT16G48C40U5 16 GB,598.79,ASRock B450M/ac R2.0,673.65,Cooler Master V SFX Gold ATX 3.0,431.62,Gigabyte AORUS MASTER,9550.35,14101.55
Deepcool CH370,828.92,Intel Core i3-14100F,1506.16,Inland Professional,1628.94,Silicon Power GAMING 32 GB,1854.53,ASRock X570 Phantom Gaming 4S,3248.28,SeaSonic PRIME TX-850,675.15,NVIDIA Founders Edition,7197.68,16939.66
Montech X3 Mesh,360.56,Intel Core i5-13600KF,1041.09,Patriot Burst Elite,491.72,TEAMGROUP T-Create Expert 16 GB,580.26,MSI B450M PRO-VDH MAX,1517.72,Deepcool DQ750-M-V2L,342.32,Gigabyte AERO OC V2,9891.62,14225.29
NZXT H510i,889.66,AMD Ryzen 5 5500,3865.39,Inland Performance Plus,61.06,Corsair Vengeance RGB 32 GB,173.15,ASRock B550 Phantom Gaming 4/ac,244.56,EVGA 700 BR,139.03,Asus STRIX GAMING,5779.11,11151.96
Deepcool CK560,568.21,Intel Core i5-13500,1101.23,Silicon Power P34A60,2229.23,Corsair Vengeance RGB RS 32 GB,3090.61,ASRock B550M Steel Legend,2573.78,SeaSonic FOCUS GX-850 ATX 3.0,376.72,MSI RTX 3060 Ventus 3X 12G OC,9653.67,19593.45
be quiet! Pure Base 500 FX,245.28,Intel Core i7-14700K,2588.93,Crucial T705,802.54,G.Skill Trident Z5 RGB 64 GB,2957.68,Gigabyte B650M D3HP AX,2302.92,Corsair SF600,582.66,MSI Ventus XS OCV1,8834.98,18314.99
Lian Li O11 Vision Chrome,809.95,AMD Ryzen 5 8600G,71.74,Inland Professional,2231.25,Samsung M378A2K43CB1-CTD 16 GB,2589.32,Gigabyte A520I AC,198.03,Gigabyte P850GM,219.42,Zotac Twin Edge OC,792.06,6911.77
be quiet! Silent Base 802,690.0,Intel Core i5-13400F,2655.12,Seagate FireCuda 530,2036.11,G.Skill Ripjaws S5 32 GB,837.26,ASRock B650M-H/M.2+,3587.9,Lian Li SP850,662.11,PowerColor Fighter OC,3829.05,14297.55
Thermaltake Core V21,450.99,Intel Core i7-12700F,3917.54,Lexar NM620,1947.1,G.Skill Trident Z RGB 64 GB,2383.29,Gigabyte B550 GAMING X V2,2870.74,CoolMax I-500,656.26,Asus DUAL,7473.53,19699.45
Corsair Obsidian Series 1000D,645.0,Intel Core i7-8700,4099.97,TEAMGROUP GX2,1798.82,G.Skill Trident Z RGB 64 GB,2941.66,Asus PRIME Z390-P,2554.78,be quiet! SFX L Power,291.86,PNY VCNRTX6000ADA-PB,5251.06,17583.15
GameMax Edge,377.91,AMD Ryzen 5 1600X,1813.88,Acer Predator GM7000,784.24,G.Skill Ripjaws V 64 GB,770.67,ASRock B660M-HDV,2790.39,EVGA SuperNOVA 650 GT,164.24,Asus GT730-4H-SL-2GD5,1146.13,7847.46
Fractal Design Torrent,712.61,Intel Core i5-4570T,769.96,Intel 750,2261.81,Patriot Signature Line 8 GB,3487.77,Gigabyte Z790 AORUS ELITE DDR4,3586.03,Gigabyte UD750GM,205.66,NVIDIA 9001G4112520001,8915.74,19939.58
NZXT H7 Flow RGB,172.29,Intel Celeron 420,2707.68,Leven JS600,1980.84,Kingston Server Premier 32 GB,1206.49,Gigabyte B650M D3HP AX,1354.65,Corsair RM1200x SHIFT,490.93,Gigabyte AORUS MASTER,8552.72,16465.6
Cooler Master MasterBox NR200P V2,916.85,Intel Core i7-10700K,544.33,Seagate FireCuda 530,1979.48,Crucial Classic 16 GB,2896.53,ASRock X670E Taichi,1293.68,Raidmax XT,267.09,NVIDIA 9001G4112520001,253.16,8151.12
Silverstone SG13 V2,364.24,Intel Core i7-11700KF,3471.81,Seagate Constellation CS,374.09,Corsair Vengeance RGB Pro 64 GB,1867.8,ASRock B550 Phantom Gaming 4,2444.07,Corsair HX1000i (2023),403.89,MSI VENTUS 2X XS OC,4436.55,13362.45
Phanteks NV5,444.9,AMD Ryzen 7 1700,825.6,Samsung 970 Evo,472.91,TEAMGROUP Elite 16 GB,2242.81,Gigabyte Z790 AORUS ELITE X WIFI7,795.99,EVGA 500 BQ,537.0,MSI Ventus XS OCV1,3535.8,8855.01
Fractal Design Pop Air RGB,416.6,Intel Core i7-10700KF,2044.5,Lexar NM790,967.31,G.Skill Trident Z5 RGB 48 GB,3658.73,ASRock B760M PG Riptide,2521.74,SeaSonic PRIME Fanless,446.01,Gigabyte EAGLE,9848.9,19903.79
NZXT H5 Flow,625.79,Intel Core i7-8700K,196.01,Solidigm P44 Pro,1614.81,Corsair Vengeance RGB RT 32 GB,3314.07,ASRock A620M Pro RS,747.09,Lian Li SP850,293.38,ASRock Challenger,2977.56,9768.71
Corsair 3000D AIRFLOW,759.37,Intel Core i5-4690,2231.43,VisionTek QLC,138.77,Crucial CT16G48C40U5 16 GB,858.11,Asus ROG STRIX Z790-E GAMING WIFI II,3088.95,Apevia Galaxy,665.56,XFX Speedster MERC 310 Black Edition,6415.85,14158.04
Asus TUF Gaming GT502,381.0,Intel Core i9-9900KF,4077.8,TEAMGROUP T-Force Vulcan Z,1615.7,Crucial CT16G48C40U5 16 GB,1042.24,Gigabyte B760I AORUS PRO,1744.07,EVGA SuperNOVA 1000 G5,399.37,Asus ROG Matrix Platinum,7754.03,17014.21
Cooler Master Cosmos C700M,279.58,Intel Core i5-12600KF,909.3,Samsung PM893,280.47,Silicon Power SP016GLLTU160N22 16 GB,3649.17,MSI PRO H610M-G WIFI DDR4,155.27,EVGA SuperNOVA 750 P5,104.99,PNY VERTO,4427.25,9806.03
Lian Li LANCOOL III,338.84,Intel Core i5-12500,2077.05,Seagate IronWolf NAS,2324.55,Kingston FURY Beast 32 GB,1579.15,Asus PRIME B760-PLUS,1182.85,Corsair RM850x (2018),100.61,EVGA XC3 ULTRA GAMING,2202.4,9805.45
Phanteks NV7,483.94,Intel Core i5-12500,1559.3,ADATA XPG SX8200 Pro,580.96,Corsair Dominator Platinum RGB 64 GB,2520.34,MSI PRO B550M-P GEN3,724.2,Gigabyte UD-GM PG5,86.88,MSI RTX 4090 GAMING SLIM 24G,7188.19,13143.81
GameMax Vista A,687.06,Intel Core i5-8500,1739.4,Samsung 850 Evo,2283.08,Kingston FURY Beast 8 GB,2959.32,MSI MAG B550 TOMAHAWK MAX WIFI,1096.94,be quiet! Pure Power 11,580.53,XFX GTS XXX,559.82,9906.15
NZXT H7 Elite (2023),679.23,Intel Core i7-7700T,241.08,Toshiba MG10 512e,1425.55,Samsung M378A2K43CB1-CTD 16 GB,1067.42,MSI X670E GAMING PLUS WIFI,3875.58,MSI MPG A850G PCIE5,682.54,MSI Ventus XS OCV1,1086.65,9058.05
Corsair 6500X,727.72,Intel Core i9-13900KF,3751.23,Lexar NS100,900.8,TEAMGROUP T-Force Delta RGB 32 GB,1382.34,MSI PRO B760M-A WIFI DDR4,2605.71,Corsair RM850e (2023),110.91,PNY VERTO,6221.54,15700.25
NZXT H7 Flow RGB,490.05,Intel Core i9-9900K (Standard Folding Box),1976.9,Kingston KC3000,1127.1,Kingston FURY Beast 8 GB,3438.53,ASRock B760M PG SONIC WiFi,1850.73,EVGA 650 BQ,94.95,XFX Speedster SWFT 210 Core,7763.13,16741.39
Corsair 5000D AIRFLOW,480.3,AMD FX-6350,2917.0,Kingston KC3000,1917.55,Patriot Viper Steel 32 GB,1249.29,MSI Z490-A PRO,899.11,SeaSonic PRIME PX-1600 ATX 3.0,47.94,XFX Speedster MERC 308 Black,4201.88,11713.07
NZXT H5 Flow,704.44,AMD Ryzen 9 5950X,751.19,Lexar NS100,349.29,TEAMGROUP T-Force Vulcan Z 32 GB,633.02,Gigabyte H610M K DDR4,1956.35,Corsair RM1000x (2021),39.0,PNY VERTO,5621.48,10054.77
GameMax G563,366.13,Intel Core i7-3770K,2180.53,Seagate BarraCuda,1408.67,G.Skill Ripjaws S5 64 GB,2643.24,Asus ROG STRIX B650E-I GAMING WIFI,2623.12,Corsair RM750,95.36,ASRock Phantom Gaming D OC,8785.64,18102.69
Fractal Design Pop Mini Air,915.12,Intel Celeron G4900,2340.74,Leven JS600,1443.53,Corsair Vengeance 128 GB,1828.66,Gigabyte H610M K DDR4,438.95,SeaSonic FOCUS GX,651.85,PowerColor Fighter OC,867.57,8486.42
Fractal Design Focus G,289.16,Intel Core i5-9400F,559.54,Solidigm P44 Pro,1855.16,G.Skill Trident Z5 RGB 32 GB,216.38,Gigabyte B650 EAGLE AX,2876.79,Deepcool PX1200G,649.91,Sapphire PURE,6374.22,12821.16
Lian Li O11 Air Mini,544.84,Intel Core i3-530,1343.2,Sabrent Rocket 4 Plus,102.63,Corsair Dominator Titanium 32 GB,28.35,Asus PRIME B650M-A WIFI II,1344.73,be quiet! Dark Power 13,618.3,PNY VERTO,5750.58,9732.63
Fractal Design Ridge PCIe 4.0,838.65,Intel Core i5-760,755.04,ADATA XPG GAMMIX S70 Blade,171.66,Crucial CT2K8G48C40U5 16 GB,3408.46,Gigabyte X670 GAMING X AX V2,3736.9,EVGA 750 BQ,621.7,PNY VCNRTX6000ADA-PB,7934.31,17466.72
SAMA IM01,501.6,Intel Core i7-6900K,84.97,Transcend 250S,2256.57,TEAMGROUP T-Force Delta RGB 16 GB,1066.2,ASRock X570 Phantom Gaming 4S,70.74,Super Flower Leadex III Gold,270.01,PowerColor Hellhound OC,9775.05,14025.14
Fractal Design Node 304,230.06,AMD Ryzen 7 5800X3D,774.96,Corsair MP700,1297.05,Lexar Ares RGB 32 GB,2375.61,NZXT N7 B650E,3091.42,NZXT C1200,374.86,MSI GeForce RTX 3060 Ventus 2X 12G,734.39,8878.35
NZXT H7 Flow RGB,576.21,AMD Ryzen 7 5800X3D,3593.06,Samsung 990 EVO,1726.08,Patriot Viper Venom 16 GB,1667.58,Gigabyte B760M DS3H AX,2300.1,Corsair RM850x (2021),419.06,Zotac GAMING Trinity OC,1365.57,11647.66
BitFenix Nova Mesh SE,864.91,Intel Core i7-4770S,170.9,Silicon Power XS70,1990.59,Silicon Power SP016GLLTU160N22 16 GB,1146.38,MSI MPG Z790 CARBON WIFI II,1583.72,Fractal Design Ion Gold,459.08,XFX Speedster QICK 319 Core,2210.71,8426.29
Thermaltake Core V21,74.65,AMD Threadripper 1950X,3738.25,Solidigm P41 Plus,2169.32,TEAMGROUP T-Force Vulcan Z 32 GB,3443.75,Asus TUF GAMING B550-PLUS WIFI II,1473.48,be quiet! SFX Power 3 450,429.19,MSI Ventus XS OCV1,2546.28,13874.92
Thermaltake Core V21,55.81,Intel Core i9-7920X,1995.1,Kingston NV2,2071.99,Corsair Dominator Titanium 48 GB,2218.77,Gigabyte B650 GAMING X AX V2,3214.95,Deepcool PM850D,643.2,Asus ROG STRIX-GTX1070-O8G-GAMING,7026.01,17225.83
Montech KING 95,526.67,Intel Core i9-10850K,3836.05,Solidigm P44 Pro,2090.06,Lexar THOR OC 32 GB,3459.53,MSI PRO B550M-P GEN3,490.76,SeaSonic FOCUS GX-750 ATX 3.0,517.06,ASRock Phantom Gaming OC,819.58,11739.71
